rownames,id,nearc2,nearc4,educ,age,fatheduc,motheduc,weight,momdad14,sinmom14,step14,reg661,reg662,reg663,reg664,reg665,reg666,reg667,reg668,reg669,south66,black,smsa,south,smsa66,wage,enroll,KWW,IQ,married,libcrd14,exper,lwage,expersq
1,2,0,0,7,29,,,158413,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,548,0,15.0,,1.0,0.0,16,6.306275367736816,256
2,3,0,0,12,27,8.0,8.0,380166,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,481,0,35.0,93.0,1.0,1.0,9,6.175867080688477,81
3,4,0,0,12,34,14.0,12.0,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,721,0,42.0,103.0,1.0,1.0,16,6.580639362335205,256
4,5,1,1,11,27,11.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,250,0,25.0,88.0,1.0,1.0,10,5.521461009979248,100
5,6,1,1,12,34,8.0,7.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,729,0,34.0,108.0,1.0,0.0,16,6.591673851013184,256
6,7,1,1,12,26,9.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,500,0,38.0,85.0,1.0,1.0,8,6.214608192443848,64
7,8,1,1,18,33,14.0,14.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,565,0,41.0,119.0,1.0,1.0,9,6.336825847625732,81
8,9,1,1,14,29,14.0,14.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,608,0,46.0,108.0,1.0,1.0,9,6.41017484664917,81
9,10,1,1,12,28,12.0,12.0,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,425,0,32.0,96.0,4.0,0.0,10,6.052089214324951,100
10,11,1,1,12,29,12.0,12.0,480445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,515,0,34.0,97.0,1.0,1.0,11,6.244166851043701,121
11,12,1,1,9,28,11.0,12.0,380166,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,225,0,29.0,84.0,1.0,0.0,13,5.41610050201416,169
12,13,1,1,12,26,11.0,6.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,400,0,34.0,89.0,1.0,1.0,8,5.991464614868164,64
13,14,1,1,11,24,11.0,6.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,417,0,22.0,93.0,1.0,1.0,7,6.03308629989624,49
14,15,1,1,11,30,11.0,6.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,217,0,27.0,74.0,1.0,0.0,13,5.379897117614746,169
15,16,1,1,16,31,,8.0,648053,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,894,0,43.0,116.0,1.0,1.0,9,6.795705795288086,81
16,17,1,1,14,24,15.0,12.0,357519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,300,0,36.0,,6.0,1.0,4,5.703782558441162,16
17,19,1,1,12,34,12.0,8.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,346,0,40.0,93.0,1.0,1.0,16,5.846438884735107,256
18,20,1,1,14,29,,12.0,496635,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,658,0,35.0,100.0,1.0,1.0,9,6.4892048835754395,81
19,22,1,1,10,26,8.0,8.0,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,575,0,24.0,91.0,6.0,0.0,10,6.3543701171875,100
20,25,1,1,12,32,8.0,8.0,355491,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,649,0,35.0,88.0,1.0,0.0,14,6.475432872772217,196
21,26,1,1,18,32,12.0,13.0,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,944,0,43.0,,1.0,1.0,8,6.850126266479492,64
22,29,1,1,18,34,,8.0,408301,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,614,0,50.0,114.0,1.0,1.0,10,6.419994831085205,100
23,30,1,1,15,32,5.0,14.0,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,726,0,37.0,111.0,1.0,1.0,11,6.587550163269043,121
24,31,0,1,12,28,14.0,12.0,380166,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,604,0,44.0,,1.0,1.0,10,6.403573989868164,100
25,32,0,1,12,32,11.0,12.0,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,693,0,44.0,95.0,1.0,1.0,14,6.541029930114746,196
26,35,0,1,18,34,14.0,13.0,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1400,0,44.0,132.0,1.0,1.0,10,7.244227409362793,100
27,36,0,1,12,26,7.0,12.0,367772,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,300,0,27.0,,6.0,1.0,8,5.703782558441162,64
28,37,0,1,18,32,16.0,16.0,355491,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1800,0,38.0,109.0,5.0,1.0,8,7.495542049407959,64
29,38,0,1,12,25,11.0,12.0,357519,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,413,0,43.0,108.0,1.0,1.0,7,6.023447513580322,49
30,39,0,1,14,29,,16.0,496635,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,632,0,45.0,102.0,1.0,1.0,9,6.448889255523682,81
31,47,1,1,12,25,12.0,12.0,90339,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,208,0,30.0,106.0,1.0,1.0,7,5.337538242340088,49
32,48,1,1,12,25,,11.0,102031,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,457,0,40.0,104.0,6.0,1.0,7,6.124683380126953,49
33,53,1,1,16,24,10.0,10.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,824,0,24.0,119.0,1.0,1.0,2,6.714170455932617,4
34,54,1,1,18,34,,12.0,408301,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,577,0,47.0,122.0,1.0,1.0,10,6.357842445373535,100
35,55,1,1,11,28,6.0,10.0,380166,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,255,0,32.0,90.0,1.0,1.0,11,5.541263580322266,121
36,62,1,1,16,30,12.0,12.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,962,0,47.0,118.0,1.0,1.0,8,6.869014263153076,64
37,63,1,1,10,31,8.0,6.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,944,0,37.0,105.0,1.0,0.0,15,6.850126266479492,225
38,64,1,1,18,34,8.0,11.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1146,1,43.0,115.0,1.0,1.0,10,7.044033050537109,100
39,77,1,1,6,27,2.0,6.0,104596,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,324,0,16.0,,1.0,1.0,15,5.780743598937988,225
40,79,1,1,11,24,6.0,12.0,102031,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,235,0,27.0,65.0,5.0,1.0,7,5.459585666656494,49
41,80,1,1,12,34,11.0,10.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1000,0,45.0,120.0,1.0,0.0,16,6.907755374908447,256
42,81,1,1,9,26,,12.0,422407,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,481,0,31.0,86.0,4.0,1.0,11,6.175867080688477,121
43,82,1,1,15,32,10.0,12.0,89826,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,624,0,39.0,109.0,1.0,1.0,11,6.436150550842285,121
44,83,1,1,11,34,8.0,10.0,89826,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,650,0,36.0,72.0,1.0,0.0,17,6.476972579956055,289
45,87,1,1,12,24,,10.0,102031,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,344,0,31.0,,6.0,0.0,6,5.840641498565674,36
46,90,1,1,16,24,12.0,10.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,380,0,,,6.0,0.0,2,5.940171241760254,4
47,91,1,1,12,24,12.0,11.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,353,0,25.0,101.0,1.0,1.0,6,5.8664679527282715,36
48,92,1,1,13,25,,12.0,369567,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,659,0,29.0,105.0,6.0,1.0,6,6.490723609924316,36
49,93,1,1,17,28,10.0,10.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,621,1,48.0,136.0,1.0,1.0,5,6.431331157684326,25
50,97,1,1,12,25,10.0,11.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,440,0,40.0,101.0,1.0,1.0,7,6.086774826049805,49
51,98,1,1,12,26,12.0,10.0,104596,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,738,0,34.0,96.0,6.0,1.0,8,6.603943824768066,64
52,102,1,1,11,31,5.0,5.0,158413,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,280,0,36.0,,1.0,0.0,14,5.63478946685791,196
53,107,1,1,10,24,5.0,,369567,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,434,0,34.0,,1.0,1.0,8,6.073044300079346,64
54,108,1,1,12,27,,8.0,380166,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,705,0,34.0,101.0,1.0,1.0,9,6.558197975158691,81
55,110,1,1,12,27,10.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,425,0,32.0,91.0,1.0,1.0,9,6.052089214324951,81
56,111,1,1,12,24,,4.0,369567,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,571,0,35.0,,1.0,1.0,6,6.347389221191406,36
57,112,1,1,16,30,12.0,12.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,538,0,52.0,115.0,6.0,1.0,8,6.287858486175537,64
58,115,1,1,16,32,12.0,12.0,408301,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,740,0,49.0,113.0,1.0,1.0,10,6.606650352478027,100
59,116,1,1,13,32,10.0,12.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,673,1,43.0,123.0,1.0,1.0,13,6.511745452880859,169
60,119,1,1,12,34,10.0,10.0,89826,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,769,0,36.0,95.0,1.0,1.0,16,6.6450910568237305,256
61,121,1,1,12,24,10.0,10.0,90339,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,592,0,26.0,102.0,1.0,1.0,6,6.383506774902344,36
62,125,1,1,9,24,12.0,11.0,102031,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,213,0,15.0,,6.0,1.0,9,5.361292362213135,81
63,127,1,1,16,34,12.0,12.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1563,0,50.0,145.0,1.0,1.0,12,7.354362487792969,144
64,129,1,1,16,28,11.0,11.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,774,0,35.0,114.0,1.0,1.0,6,6.651571750640869,36
65,131,1,1,12,26,8.0,9.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,600,0,35.0,113.0,1.0,0.0,8,6.396929740905762,64
66,133,1,1,18,24,16.0,16.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,693,0,24.0,,6.0,1.0,0,6.541029930114746,0
67,135,1,1,13,31,8.0,12.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,570,0,40.0,93.0,5.0,1.0,12,6.345636367797852,144
68,136,1,1,14,28,12.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,433,0,38.0,,5.0,1.0,8,6.070737838745117,64
69,137,1,1,15,28,12.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,538,0,37.0,119.0,2.0,0.0,7,6.287858486175537,49
70,138,1,1,12,25,12.0,9.0,369567,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,627,0,35.0,108.0,6.0,1.0,7,6.440946578979492,49
71,139,1,1,8,31,12.0,11.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,481,0,35.0,,1.0,1.0,17,6.175867080688477,289
72,141,1,1,12,26,6.0,11.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,545,0,26.0,72.0,1.0,1.0,8,6.300786018371582,64
73,142,1,1,12,25,12.0,9.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,576,0,34.0,86.0,1.0,1.0,7,6.356107711791992,49
74,144,1,1,16,25,14.0,12.0,90339,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,700,0,42.0,123.0,1.0,1.0,3,6.551080226898193,9
75,147,1,1,16,28,12.0,12.0,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,788,0,38.0,103.0,1.0,1.0,6,6.669497966766357,36
76,148,1,1,17,27,12.0,12.0,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1012,0,42.0,101.0,1.0,1.0,4,6.919683933258057,16
77,149,1,1,12,24,12.0,10.0,357519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,758,0,30.0,,1.0,1.0,6,6.630683422088623,36
78,150,1,1,14,29,12.0,16.0,480445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,601,1,41.0,105.0,6.0,1.0,9,6.398594856262207,81
79,151,1,1,12,24,,12.0,357519,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,283,0,34.0,,6.0,1.0,6,5.64544677734375,36
80,154,1,1,12,24,12.0,12.0,397244,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,250,0,29.0,,6.0,1.0,6,5.521461009979248,36
81,156,1,1,12,26,10.0,12.0,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,500,0,33.0,95.0,1.0,1.0,8,6.214608192443848,64
82,157,1,1,11,31,8.0,6.0,480445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,550,0,41.0,98.0,1.0,1.0,14,6.309918403625488,196
83,158,1,1,12,25,8.0,6.0,357519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1143,0,27.0,,1.0,1.0,7,7.041411876678467,49
84,159,1,1,18,31,8.0,8.0,480445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,810,0,39.0,115.0,4.0,0.0,7,6.6970343589782715,49
85,164,1,1,12,28,,9.0,104596,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,313,0,20.0,60.0,6.0,1.0,10,5.746203422546387,100
86,166,1,1,18,25,,4.0,369567,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,731,0,36.0,135.0,1.0,1.0,1,6.5944132804870605,1
87,168,1,1,16,25,9.0,10.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,625,1,35.0,132.0,1.0,1.0,3,6.437751770019531,9
88,169,1,1,14,24,16.0,12.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,588,1,33.0,106.0,1.0,1.0,4,6.376727104187012,16
89,170,1,1,14,26,12.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,375,1,28.0,113.0,1.0,1.0,6,5.926926136016846,36
90,173,1,1,16,29,14.0,11.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,817,0,43.0,102.0,6.0,1.0,7,6.705638885498047,49
91,175,1,1,14,30,15.0,12.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,865,0,32.0,91.0,1.0,1.0,10,6.762729644775391,100
92,176,1,1,15,28,12.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,350,0,30.0,104.0,1.0,1.0,7,5.857933044433594,49
93,177,1,1,13,24,12.0,12.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,202,0,22.0,,1.0,1.0,5,5.308267593383789,25
94,178,1,1,13,32,16.0,16.0,367470,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,505,0,43.0,97.0,1.0,1.0,13,6.224558353424072,169
95,179,1,1,17,30,12.0,13.0,480445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,816,0,41.0,125.0,1.0,1.0,7,6.704414367675781,49
96,181,1,1,18,26,14.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,625,0,41.0,123.0,6.0,1.0,2,6.437751770019531,4
97,182,1,1,18,32,16.0,16.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,769,0,35.0,128.0,6.0,1.0,8,6.6450910568237305,64
98,183,1,1,17,27,16.0,17.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,500,1,38.0,133.0,6.0,1.0,4,6.214608192443848,16
99,188,1,1,17,27,12.0,8.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,619,1,32.0,114.0,1.0,1.0,4,6.428105354309082,16
100,192,1,1,12,30,,8.0,480445,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,650,0,40.0,103.0,1.0,1.0,12,6.476972579956055,144
101,194,0,1,18,28,10.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,769,0,36.0,130.0,1.0,1.0,4,6.6450910568237305,16
102,195,0,1,12,26,10.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,512,0,33.0,97.0,1.0,1.0,8,6.2383246421813965,64
103,196,0,1,18,31,12.0,13.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,625,0,46.0,132.0,1.0,1.0,7,6.437751770019531,49
104,197,0,1,14,31,12.0,12.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1111,0,41.0,98.0,1.0,1.0,11,7.0130157470703125,121
105,198,0,1,13,28,12.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,721,0,41.0,108.0,1.0,1.0,9,6.580639362335205,81
106,199,0,1,14,32,13.0,12.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1154,0,44.0,107.0,1.0,1.0,12,7.050989627838135,144
107,201,0,1,18,34,18.0,18.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,827,0,40.0,129.0,6.0,1.0,10,6.717804908752441,100
108,204,0,1,16,34,14.0,12.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,923,0,56.0,,1.0,1.0,12,6.827629089355469,144
109,205,0,1,17,28,14.0,17.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1076,0,42.0,132.0,1.0,1.0,5,6.981005668640137,25
110,209,0,1,12,33,,8.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,625,0,37.0,101.0,1.0,1.0,15,6.437751770019531,225
111,210,0,1,13,27,,8.0,380166,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,460,0,24.0,92.0,1.0,1.0,8,6.131226539611816,64
112,213,0,1,14,24,8.0,12.0,102031,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,900,0,39.0,108.0,6.0,1.0,4,6.802394866943359,16
